Date: 03/08/2015	 Scientist Search 1.7
Data Retrieval Mode: medline, reflects file type source of PubMed data in following analysis.
Publication Type Selection: journal article, Affiliation Restriction: none, reflects search constraints of PubMed data in following analysis.
Keyword Mode Selection: none
Authors per Publication output type: summary

Year,Q0,Q1,Q2,Q2,Q2,Q3,Q4,Mean,Count,Sum,Variance
1981,1,1,2,2,2,4,100,2.7937021766374,264123,737881,3.21243225391435
1982,1,1,2,2,2,4,92,2.85351372184005,275036,784819,3.47149905590255
1983,1,1,3,3,3,4,50,2.91677822790651,286091,834464,3.45032724842175
1984,1,2,3,3,3,4,25,2.98233143716734,295157,880256,3.45804049521044
1985,1,2,3,3,3,4,64,3.05730277442702,310875,950439,4.21203122919616
1986,1,2,3,3,3,4,77,3.11948479290088,322744,1006795,4.25374076026623
1987,1,2,3,3,3,4,64,3.19902499992596,337641,1080122,4.45434861000286
1988,1,2,3,3,3,4,73,3.2465681472964,352215,1143490,4.49431111465453
1989,1,2,3,3,3,4,65,3.32198745379614,367123,1219578,4.78022674982012
1990,1,2,3,3,3,5,64,3.37255818451422,372264,1255482,5.03124638801959
1991,1,2,3,3,3,5,64,3.43260739066243,369818,1269440,4.87946739746978
1992,1,2,3,3,3,5,64,3.52054978570181,372145,1310155,5.29066115496338
1993,1,2,3,3,3,5,64,3.57881280803774,379012,1356413,5.5577733227737
1994,1,2,3,3,3,5,97,3.65143081104482,390373,1425420,5.69453187930644
1995,1,2,3,3,3,5,66,3.74192489462896,399066,1493275,6.08061348993134
1996,1,2,3,3,3,5,104,3.86920001171715,409656,1585041,6.95534874193919
1997,1,2,3,3,3,5,150,3.92359004561237,405811,1592236,6.53245151100968
1998,1,2,4,4,4,5,631,3.98894811191966,421195,1680125,7.67817175764429
1999,1,2,4,4,4,5,230,4.01359576624871,438004,1757971,7.08772074504339
2000,1,2,4,4,4,5,461,4.06948907319863,475528,1935156,10.0855255696094
2001,1,2,4,4,4,6,743,4.19872846469876,489487,2055223,26.7091581361638
2002,1,2,4,4,4,6,620,4.28065393483136,507023,2170390,23.5418067945268
2003,1,2,4,4,4,6,610,4.39273039047206,535352,2351657,27.7029577327322
2004,1,2,4,4,4,6,625,4.51273904681303,576613,2602104,38.5815021085748
2005,1,2,4,4,4,6,650,4.64250190103293,635181,2948829,48.8042601426664
2006,1,2,4,4,4,6,645,4.71669077260134,679639,3205647,43.9961470352391
2007,1,3,4,4,4,6,631,4.82774402140588,717560,3464196,46.5450644852303
2008,1,3,4,4,4,6,620,4.90649354050851,763605,3746623,46.2486252077702
2009,1,3,4,4,4,6,656,4.99848010695267,803346,4015509,40.4396426249842
2010,1,3,4,4,4,7,3172,5.12425597732414,865061,4432794,75.7483031245813
2011,1,3,5,5,5,7,3050,5.27966901411451,938892,4957039,207.975562460797
2012,1,3,5,5,5,7,3060,5.41671265746851,1000200,5417796,276.230585714075
2013,1,3,5,5,5,7,2926,5.49315447696157,1047619,5754733,126.97570744453
2014,1,3,5,5,5,7,2937,5.60662852615481,1085460,6085771,114.55176027468
